YEAR,INNINGS,AVERAGE,STRIKE RATE,HUNDRED,FIFTY,HIGH SCORE,ODI RUNS
1,5,31.8,66.53,0,1,54,159
2,8,54.17,84.42,1,2,107,325
3,24,47.38,85.12,3,7,118,995
4,34,47.62,85.56,4,8,117,1381
5,17,68.4,93.78,5,3,183,1026
6,30,52.83,97.54,4,7,115,1268
7,20,58.56,99.62,4,5,139,1054
8,20,36.65,80.6,2,1,138,623
10,10,92.38,100,3,4,154,739
11,26,76.84,99.12,6,7,131,1460
12,14,133.56,102.56,6,3,160,1202
13,25,59.86,96.36,5,7,123,1377
14,9,47.88,92.29,0,5,89,431
15,3,43,86.57,0,2,66,129
16,8,21.87,74.46,0,2,65,175